C_CODE,COUNTY,TOTAL_REG.,NUMBER_VOTING,PERCENT_TURNOUT,DEM_REG.,NUMBER_VOTING,PERCENT_TURNOUT,REP_REG.,NUMBER_VOTING,PERCENT_TURNOUT,OTHER_REG.,NUMBER_VOTING,PERCENT_TURNOUT,
1,ADAIR,"12,584","7,548",59.9,"3,862","2,310",59.8,"8,208","5,015",61, 514 ,223,43.3,
2,ALLEN,"12,439","7,502",60.3,"4,621","2,769",59.9,"7,153","4,465",62.4, 665 ,268,40.3,
3,ANDERSON,"15,507","10,785",69.5,"10,201","7,249",71,"4,541","3,168",69.7, 765 ,368,48.1,
4,BALLARD,"5,999","4,101",68.3,"4,982","3,494",70.1,840,535,63.6, 177 ,72,40.6,
5,BARREN,"27,232","17,342",63.6,"16,543","10,519",63.5,"9,210","6,185",67.1," 1,479 ",638,43.1,
6,BATH,"8,697","4,790",55,"7,490","4,166",55.6,963,539,55.9, 244 ,85,34.8,
7,BELL,"20,576","9,973",48.4,"10,119","4,594",45.3,"9,800","5,154",52.5, 657 ,225,34.2,
8,BOONE,"78,084","51,996",66.5,"29,184","19,020",65.1,"39,678","27,891",70.2," 9,222 ","5,085",55.1,
9,BOURBON,"13,312","8,442",63.4,"9,637","6,321",65.5,"3,013","1,839",61, 662 ,282,42.5,
10,BOYD,"35,995","21,111",58.6,"21,894","12,680",57.9,"11,809","7,496",63.4," 2,292 ",935,40.7,
11,BOYLE,"19,189","12,646",65.9,"11,951","8,059",67.4,"6,076","4,003",65.8," 1,162 ",584,50.2,
12,BRACKEN,"6,016","3,530",58.6,"4,740","2,822",59.5,"1,058",626,59.1, 218 ,82,37.6,
13,BREATHITT,"12,116","5,097",42,"10,989","4,672",42.5,850,348,40.9, 277 ,77,27.7,
14,BRECKINRIDGE,"13,995","8,655",61.8,"7,425","4,641",62.5,"5,872","3,729",63.5, 698 ,285,40.8,
15,BULLITT,"49,357","31,716",64.2,"28,147","18,225",64.7,"17,521","11,795",67.3," 3,689 ","1,696",45.9,
16,BUTLER,"8,780","5,434",61.8,"1,972","1,218",61.7,"6,584","4,127",62.6, 224 ,89,39.7,
17,CALDWELL,"9,583","6,353",66.2,"7,281","4,939",67.8,"1,949","1,254",64.3, 353 ,160,45.3,
18,CALLOWAY,"24,759","15,778",63.7,"16,708","11,084",66.3,"6,211","3,836",61.7," 1,840 ",858,46.6,
19,CAMPBELL,"60,400","41,056",67.9,"27,799","18,818",67.6,"25,937","18,420",71," 6,664 ","3,818",57.2,
20,CARLISLE,"3,915","2,689",68.6,"3,263","2,277",69.7,563,376,66.7, 89 ,36,40.4,
21,CARROLL,"7,215","3,977",55.1,"6,031","3,424",56.7,872,467,53.5, 312 ,86,27.5,
22,CARTER,"18,928","10,180",53.7,"11,502","6,121",53.2,"6,501","3,737",57.4, 925 ,322,34.8,
23,CASEY,"10,788","6,187",57.3,"2,146","1,182",55,"8,386","4,900",58.4, 256 ,105,41,
24,CHRISTIAN,"39,061","22,920",58.6,"24,670","15,614",63.2,"11,345","6,141",54.1," 3,046 ","1,165",38.2,
25,CLARK,"24,610","16,071",65.3,"15,936","10,541",66.1,"7,242","4,856",67," 1,432 ",674,47,
26,CLAY,"15,246","7,579",49.7,"2,143","1,074",50.1,"12,862","6,420",49.9, 241 ,85,35.2,
27,CLINTON,"7,229","4,291",59.3,"1,646",950,57.7,"5,469","3,295",60.2, 114 ,46,40.3,
28,CRITTENDEN,"6,314","4,053",64.1,"3,310","2,072",62.5,"2,694","1,830",67.9, 310 ,151,48.7,
29,CUMBERLAND,"5,423","2,896",53.4,"1,010",563,55.7,"4,253","2,269",53.3, 160 ,64,40,
30,DAVIESS,"64,712","44,085",68.1,"41,228","28,909",70.1,"19,513","13,273",68," 3,971 ","1,903",47.9,
31,EDMONSON,"8,694","5,398",62,"2,902","1,755",60.4,"5,526","3,554",64.3, 266 ,89,33.4,
32,ELLIOTT,"5,039","2,588",51.3,"4,799","2,484",51.7,165,71,43, 75 ,33,44,
33,ESTILL,"10,145","5,482",54,"4,305","2,239",52,"5,405","3,089",57.1, 435 ,154,35.4,
34,FAYETTE,"179,614","130,601",72.7,"97,622","72,519",74.2,"64,988","47,637",73.3," 17,004 ","10,445",61.4,
35,FLEMING,"10,175","6,011",59,"7,152","4,165",58.2,"2,636","1,684",63.8, 387 ,162,41.8,
36,FLOYD,"31,256","16,361",52.3,"27,789","14,623",52.6,"2,856","1,533",53.6, 611 ,205,33.5,
37,FRANKLIN,"33,681","24,666",73.2,"25,973","19,415",74.7,"6,065","4,445",73.2," 1,643 ",806,49,
38,FULTON,"5,167","2,854",55.2,"4,104","2,366",57.6,770,411,53.3, 293 ,77,26.2,
39,GALLATIN,"5,693","3,248",57,"4,017","2,338",58.2,"1,368",774,56.5, 308 ,136,44.1,
40,GARRARD,"11,478","7,291",63.5,"4,334","2,694",62.1,"6,443","4,250",65.9, 701 ,347,49.5,
41,GRANT,"15,289","9,102",59.5,"8,998","5,560",61.7,"4,902","2,957",60.3," 1,389 ",585,42.1,
42,GRAVES,"23,690","16,329",68.9,"18,533","13,065",70.4,"4,303","2,878",66.8, 854 ,386,45.1,
43,GRAYSON,"17,467","9,403",53.8,"6,071","3,271",53.8,"10,508","5,832",55.5, 888 ,300,33.7,
44,GREEN,"8,329","5,266",63.2,"3,224","1,952",60.5,"4,859","3,212",66.1, 246 ,102,41.4,
45,GREENUP,"27,303","16,396",60,"16,990","10,001",58.8,"8,760","5,721",65.3," 1,553 ",674,43.3,
46,HANCOCK,"6,064","4,198",69.2,"3,886","2,789",71.7,"1,958","1,306",66.7, 220 ,103,46.8,
47,HARDIN,"63,583","40,456",63.6,"34,741","22,853",65.7,"23,288","15,073",64.7," 5,554 ","2,530",45.5,
48,HARLAN,"20,510","10,203",49.7,"15,484","7,256",46.8,"4,581","2,784",60.7, 445 ,163,36.6,
49,HARRISON,"12,504","7,932",63.4,"9,130","5,901",64.6,"2,829","1,800",63.6, 545 ,231,42.3,
50,HART,"12,438","6,996",56.2,"8,331","4,681",56.1,"3,648","2,119",58, 459 ,196,42.7,
51,HENDERSON,"30,589","20,018",65.4,"22,972","15,518",67.5,"5,973","3,765",63," 1,644 ",735,44.7,
52,HENRY,"10,831","7,022",64.8,"7,513","4,934",65.6,"2,806","1,839",65.5, 512 ,249,48.6,
53,HICKMAN,"3,621","2,327",64.2,"3,025","2,000",66.1,489,288,58.8, 107 ,39,36.4,
54,HOPKINS,"31,379","19,893",63.3,"22,738","14,784",65,"7,320","4,544",62," 1,321 ",565,42.7,
55,JACKSON,"9,692","5,320",54.8,"1,270",621,48.8,"8,150","4,600",56.4, 272 ,99,36.3,
56,JEFFERSON,"499,520","355,506",71.1,"296,290","215,120",72.6,"160,047","115,672",72.2," 43,183 ","24,714",57.2,
57,JESSAMINE,"31,655","20,594",65,"15,847","10,267",64.7,"13,541","9,239",68.2," 2,267 ","1,088",47.9,
58,JOHNSON,"16,791","8,734",52,"7,185","3,565",49.6,"9,134","5,022",54.9, 472 ,147,31.1,
59,KENTON,"108,068","69,964",64.7,"48,024","30,886",64.3,"46,500","31,658",68," 13,544 ","7,420",54.7,
60,KNOTT,"11,951","6,094",50.9,"11,259","5,736",50.9,516,303,58.7, 176 ,55,31.2,
61,KNOX,"22,353","11,718",52.4,"7,635","3,709",48.5,"14,175","7,837",55.2, 543 ,172,31.6,
62,LARUE,"9,959","6,316",63.4,"6,640","4,342",65.3,"2,837","1,787",62.9, 482 ,187,38.7,
63,LAUREL,"40,349","23,012",57,"9,916","5,127",51.7,"28,929","17,360",60," 1,504 ",525,34.9,
64,LAWRENCE,"11,394","5,853",51.3,"6,439","3,186",49.4,"4,459","2,494",55.9, 496 ,173,34.8,
65,LEE,"5,286","2,857",54,"2,148","1,121",52.1,"3,021","1,681",55.6, 117 ,55,47,
66,LESLIE,"9,147","4,537",49.6,"1,143",514,44.9,"7,835","3,954",50.4, 169 ,69,40.8,
67,LETCHER,"16,568","8,386",50.6,"12,711","5,996",47.1,"3,522","2,261",64.1, 335 ,129,38.5,
68,LEWIS,"9,775","4,948",50.6,"2,438","1,275",52.2,"7,012","3,555",50.6, 325 ,118,36.3,
69,LINCOLN,"16,869","9,335",55.3,"9,199","5,004",54.3,"6,981","4,056",58.1, 689 ,275,39.9,
70,LIVINGSTON,"7,187","4,719",65.6,"5,741","3,845",66.9,"1,199",774,64.5, 247 ,100,40.4,
71,LOGAN,"17,011","11,045",64.9,"12,203","8,075",66.1,"3,821","2,555",66.8, 987 ,415,42,
72,LYON,"5,863","4,005",68.3,"4,568","3,149",68.9,"1,093",749,68.5, 202 ,107,52.9,
73,MCCRACKEN,"47,501","31,663",66.6,"30,973","21,031",67.9,"13,278","9,054",68.1," 3,250 ","1,578",48.5,
74,MCCREARY,"11,280","5,613",49.7,"3,193","1,513",47.3,"7,596","3,946",51.9, 491 ,154,31.3,
75,MCLEAN,"6,635","4,469",67.3,"4,763","3,214",67.4,"1,584","1,133",71.5, 288 ,122,42.3,
76,MADISON,"52,371","33,445",63.8,"28,461","18,491",64.9,"19,518","12,741",65.2," 4,392 ","2,213",50.3,
77,MAGOFFIN,"9,858","4,755",48.2,"6,987","3,247",46.4,"2,757","1,475",53.5, 114 ,33,28.9,
78,MARION,"12,357","7,933",64.1,"10,299","6,800",66,"1,708",978,57.2, 350 ,155,44.2,
79,MARSHALL,"22,930","15,891",69.3,"16,852","11,841",70.2,"5,264","3,606",68.5, 814 ,444,54.5,
80,MARTIN,"8,927","3,760",42.1,"2,315",919,39.6,"6,458","2,806",43.4, 154 ,35,22.7,
81,MASON,"12,060","7,306",60.5,"8,114","5,112",63,"3,156","1,902",60.2, 790 ,292,36.9,
82,MEADE,"17,642","11,487",65.1,"11,124","7,536",67.7,"5,405","3,417",63.2," 1,113 ",534,47.9,
83,MENIFEE,"5,173","2,568",49.6,"4,220","2,093",49.5,727,409,56.2, 226 ,66,29.2,
84,MERCER,"16,074","10,350",64.3,"10,876","7,161",65.8,"4,430","2,836",64, 768 ,353,45.9,
85,METCALFE,"7,427","4,352",58.5,"4,154","2,386",57.4,"2,932","1,813",61.8, 341 ,153,44.8,
86,MONROE,"8,449","4,895",57.9,"1,156",654,56.5,"7,142","4,184",58.5, 151 ,57,37.7,
87,MONTGOMERY,"17,665","10,660",60.3,"13,173","8,037",61,"3,875","2,354",60.7, 617 ,269,43.5,
88,MORGAN,"8,982","4,546",50.6,"8,212","4,160",50.6,682,355,52, 88 ,31,35.2,
89,MUHLENBERG,"22,475","13,101",58.2,"16,915","9,997",59.1,"4,579","2,773",60.5, 981 ,331,33.7,
90,NELSON,"28,627","18,675",65.2,"18,768","12,879",68.6,"7,482","4,887",65.3," 2,377 ",909,38.2,
91,NICHOLAS,"5,341","3,067",57.4,"4,534","2,679",59,628,334,53.1, 179 ,54,30.1,
92,OHIO,"16,314","10,051",61.6,"8,124","5,040",62,"7,436","4,661",62.6, 754 ,350,46.4,
93,OLDHAM,"39,811","29,936",75.1,"15,248","11,425",74.9,"20,727","16,291",78.5," 3,836 ","2,220",57.8,
94,OWEN,"7,701","4,871",63.2,"5,696","3,637",63.8,"1,674","1,070",63.9, 331 ,164,49.5,
95,OWSLEY,"3,510","1,673",47.6,843,423,50.1,"2,611","1,230",47.1, 56 ,20,35.7,
96,PENDLETON,"9,841","5,881",59.7,"6,270","3,776",60.2,"2,963","1,843",62.2, 608 ,262,43,
97,PERRY,"20,864","10,585",50.7,"16,263","7,979",49,"4,199","2,454",58.4, 402 ,152,37.8,
98,PIKE,"46,337","23,626",50.9,"35,230","17,530",49.7,"9,800","5,685",58," 1,307 ",411,31.4,
99,POWELL,"9,566","5,100",53.3,"7,141","3,794",53.1,"2,061","1,193",57.8, 364 ,113,31,
100,PULASKI,"43,078","26,604",61.7,"11,839","6,734",56.8,"28,710","18,816",65.5," 2,529 ","1,054",41.6,
101,ROBERTSON,"1,708","1,055",61.7,"1,452",911,62.7,225,125,55.5, 31 ,19,61.2,
102,ROCKCASTLE,"11,615","6,285",54.1,"2,348","1,221",52,"8,787","4,887",55.6, 480 ,177,36.8,
103,ROWAN,"13,759","8,385",60.9,"9,534","5,807",60.9,"3,408","2,212",64.9, 817 ,366,44.7,
104,RUSSELL,"12,860","7,713",59.9,"3,214","1,955",60.8,"9,312","5,623",60.3, 334 ,135,40.4,
105,SCOTT,"29,205","19,978",68.4,"16,786","11,540",68.7,"10,632","7,443",70," 1,787 ",995,55.6,
106,SHELBY,"26,273","18,747",71.3,"15,181","10,770",70.9,"9,370","7,060",75.3," 1,722 ",917,53.2,
107,SIMPSON,"11,787","7,483",63.4,"8,034","5,294",65.8,"2,817","1,750",62.1, 936 ,439,46.9,
108,SPENCER,"11,420","8,251",72.2,"6,524","4,622",70.8,"4,255","3,235",76, 641 ,394,61.4,
109,TAYLOR,"17,023","10,964",64.4,"8,401","5,194",61.8,"7,897","5,441",68.8, 725 ,329,45.3,
110,TODD,"7,925","5,006",63.1,"6,315","4,103",64.9,"1,374",816,59.3, 236 ,87,36.8,
111,TRIGG,"10,020","6,638",66.2,"6,691","4,477",66.9,"2,846","1,909",67, 483 ,252,52.1,
112,TRIMBLE,"6,429","3,870",60.1,"4,968","3,054",61.4,"1,171",721,61.5, 290 ,95,32.7,
113,UNION,"9,872","6,126",62,"8,265","5,310",64.2,"1,276",698,54.7, 331 ,118,35.6,
114,WARREN,"65,079","44,484",68.3,"37,287","25,781",69.1,"23,043","16,191",70.2," 4,749 ","2,512",52.8,
115,WASHINGTON,"8,067","5,442",67.4,"5,569","3,819",68.5,"2,252","1,509",67, 246 ,114,46.3,
116,WAYNE,"13,984","7,447",53.2,"5,460","2,873",52.6,"8,064","4,407",54.6, 460 ,167,36.3,
117,WEBSTER,"9,241","5,568",60.2,"7,704","4,800",62.3,"1,250",673,53.8, 287 ,95,33.1,
118,WHITLEY,"26,132","14,133",54,"6,912","3,430",49.6,"18,112","10,321",56.9," 1,108 ",382,34.4,
119,WOLFE,"5,910","3,113",52.6,"5,278","2,823",53.4,492,263,53.4, 140 ,27,19.2,
120,WOODFORD,"17,666","12,259",69.3,"10,708","7,683",71.7,"5,715","3,919",68.5," 1,243 ",657,52.8,
